Compound cooking fat	899
Sesame oil	898
Macadamia nuts, salted	754
Margarine, soft, polyunsaturated	746
Butter	744
Margarine, hard, vegetable fats only	741
Margarine, soft, not polyunsaturated	724
Margarine, hard, animal and vegetable fats	718
Pine nuts	699
Walnuts	698
Pecan nuts	696
Brazil nuts	691
Mayonnaise, retail	691
Coconut, creamed block	674
Hazelnuts	661
Fat spread (70-80% fat), not polyunsaturated	642
Almonds	630
Dream Topping	627
Cashew nuts, roasted and salted	624
Fat spread (70% fat), polyunsaturated	622
Tahini paste	621
Peanut butter, smooth	619
Peanuts, roasted and salted	617
Sesame seeds	611
Coconut, desiccated	609
Peanuts, dry roasted	604
Sunflower seeds	589
Cream, fresh, clotted	586
Peanuts, plain	579
Lamb, average, trimmed fat, cooked	573
Prawn crackers, takeaway	564
Beef, average, trimmed fat, raw	558
Chocolate nut spread	552
Pork, trimmed fat, raw	548
Wafer biscuits, filled	539
Beef, average, fat, cooked	533
Whitebait, in flour, fried	525
Potato crisps	525
Lamb, average, trimmed fat, raw	518
Potato rings	516
Wafers, filled, chocolate, full coated	515
Chocolate, plain	514
Corn snacks	513
Pork, fat, cooked	513
Shortbread	507
Chocolate biscuits, full coated	502
Kit Kat	502
Chicken, skin, dry, roasted/grilled	501
Corn and starch snacks	500
Snickers	500
Bombay mix	499
White bread, fried in lard	496
Chocolate biscuits, cream filled, full coated	496
Crunch biscuits, cream filled	496
Cream, fresh, double, including Jersey cream	496
Twix	496
Digestive biscuits, chocolate	493
Dried skimmed milk, with vegetable fat	488
Sandwich biscuits, cream filled	480
Mars bar	477
Bounty bar	474
Oat based biscuits	465
Dressing, French	463
Digestive biscuits, plain	462
Chocolate chip cookies	461
Smartie-type sweets	460
Dressing, blue cheese	459
Gravy instant granules	458
Short sweet biscuits	454
Tortilla chips	453
Chocolate, fancy and filled	452
Potato crisps, low fat	451
Milky Way	451
White pudding	446
Mixed cereal and potato flour snacks	443
Sandwich biscuits, jam filled	438
Shortcrust pastry, frozen, raw	437
Trail mix	437
Water biscuits	436
Gingernut biscuits	436
Complan powder, savoury	433
Semi-sweet biscuits	425
Duck, roasted, meat, fat and skin	423
Cereal chewy bar	421
Cheese, cheddar, English	414
Cheese, Parmesan, fresh	412
Savoury rice, raw	410
Cheese, hard, average	409
Oatcakes, retail	408
Cheese, Stilton, blue	408
Doughnuts, ring	404
Peanuts, plain, weighed with shells	400
Sugar, Demerara	400
Peppermints	400
Marzipan, retail	398
Eclairs, frozen	395
Tomato soup, dried	394
Instant soup powder, dried	394
Instant dessert powder	391
Vegebanger mix	391
Crunchy Nut Corn Flakes	390
Swiss roll, chocolate, individual	389
Dairy spread (40% fat)	388
Duck, raw, meat, fat and skin	388
Noodles, egg, raw	387
Clusters	387
Sugar Puffs	387
Jam tarts, retail	386
Jaffa cakes	384
Cream, fresh, whipping	381
Coco Pops	380
Frosties	380
Ricicles	380
Twiglets	380
Gelatine	380
Cheese, white, average	379
Fruit cake, plain, retail	378
Creme fraiche	378
Madeira cake	375
Croissants	374
Rice cakes	374
Horlicks powder	373
Garlic bread, pre-packed, frozen	372
Puff pastry, frozen, raw	371
Oatmeal, quick cook, raw	370
Corn Flakes	370
